,sub_num,age,block,planet_num,stay_num,stay?,galaxy,prior_galaxy,num_in_gal,true_planet,rt,zlog_rt,planet_n_norm,switch,age_group,agez
1,153,17.0,4,26,1,1,2,0,2,65,90.9,-1.1600395917918112,1.5750320161484213,no_switch,adolescent,-0.048868223950248105
1,153,17.0,4,27,1,1,2,0,3,66,1614.4,1.3756514325079152,1.7020995241742254,no_switch,adolescent,-0.048868223950248105
1,154,15.71,1,0,1,1,0,100,0,0,1314.2,1.3836488064127066,-1.6365070918806062,no_switch,adolescent,-0.2946293711472084
1,154,15.71,1,1,1,1,0,100,1,1,697.4,0.8995917895993633,-1.5468840240393724,no_switch,adolescent,-0.2946293711472084
1,154,15.71,1,2,1,1,1,0,0,2,374.0,0.4235722282821457,-1.457260956198139,switch,adolescent,-0.2946293711472084
1,154,15.71,1,3,1,1,1,0,1,3,301.5,0.25895194622464474,-1.3676378883569051,no_switch,adolescent,-0.2946293711472084
1,154,15.71,1,4,1,1,1,0,2,4,413.4,0.5000893081327449,-1.2780148205156714,no_switch,adolescent,-0.2946293711472084
1,154,15.71,1,5,1,1,2,1,0,5,228.9,0.04849544445645429,-1.1883917526744376,switch,adolescent,-0.2946293711472084
1,154,15.71,1,6,1,1,2,1,1,6,138.5,-0.3353242316645716,-1.0987686848332041,no_switch,adolescent,-0.2946293711472084
1,154,15.71,1,7,1,1,2,1,2,7,228.9,0.04849544445645429,-1.0091456169919704,no_switch,adolescent,-0.2946293711472084
1,154,15.71,2,9,1,1,0,0,1,20,98.8,-0.5933655755513185,-0.8298994813095029,no_switch,adolescent,-0.2946293711472084
1,154,15.71,2,10,1,1,0,0,2,21,195.2,-0.07317159547708221,-0.7402764134682692,no_switch,adolescent,-0.2946293711472084
1,154,15.71,2,11,1,0,0,0,3,22,506.6,0.6554049198577827,-0.6506533456270355,no_switch,adolescent,-0.2946293711472084
1,154,15.71,2,12,1,1,2,0,0,23,13.10000001,-2.136914621804001,-0.5610302777858018,switch,adolescent,-0.2946293711472084
1,154,15.71,2,13,1,1,2,0,1,24,86.59999999,-0.694052447435321,-0.4714072099445681,no_switch,adolescent,-0.2946293711472084
1,154,15.71,2,14,1,1,2,0,2,25,2.900000006,-3.2888754030498286,-0.3817841421033344,no_switch,adolescent,-0.2946293711472084
1,154,15.71,2,15,1,1,2,0,3,26,81.5,-0.7404217414508165,-0.2921610742621007,no_switch,adolescent,-0.2946293711472084
1,154,15.71,2,16,1,1,2,0,4,27,300.5,0.25641390526460206,-0.202538006420867,no_switch,adolescent,-0.2946293711472084
1,154,15.71,3,18,1,1,1,1,1,40,27.0,-1.5844074321366821,-0.023291870738399605,no_switch,adolescent,-0.2946293711472084
1,154,15.71,3,19,1,1,2,1,0,41,499.1,0.6440104117203274,0.0663311971028341,switch,adolescent,-0.2946293711472084
1,154,15.71,3,20,1,1,1,2,0,42,16.39999999,-1.9652787443343624,0.1559542649440678,switch,adolescent,-0.2946293711472084
1,154,15.71,3,21,1,1,1,2,1,43,273.9,0.18560748036690403,0.2455773327853015,no_switch,adolescent,-0.2946293711472084
1,154,15.71,3,22,1,0,1,2,2,44,1021.3,1.1910175407624397,0.3352004006265352,no_switch,adolescent,-0.2946293711472084
1,154,15.71,3,23,1,1,1,2,3,45,429.8,0.5298102618154735,0.4248234684677689,no_switch,adolescent,-0.2946293711472084
1,154,15.71,3,24,1,1,2,1,0,46,8.799999997,-2.440860009607263,0.5144465363090026,switch,adolescent,-0.2946293711472084
1,154,15.71,3,25,1,1,2,1,1,47,1720.5,1.5894467751133035,0.6040696041502363,no_switch,adolescent,-0.2946293711472084
1,154,15.71,3,26,1,1,1,2,0,48,783.0,0.9880369588334839,0.69369267199147,switch,adolescent,-0.2946293711472084
1,154,15.71,3,27,1,1,1,2,1,49,226.3,0.0397683327294232,0.7833157398327038,no_switch,adolescent,-0.2946293711472084
1,154,15.71,4,29,1,0,0,2,0,60,1513.9,1.4917178746855233,0.9625618755151711,switch,adolescent,-0.2946293711472084
1,154,15.71,4,30,1,1,0,2,1,61,44.90000001,-1.1958619425152393,1.0521849433564048,no_switch,adolescent,-0.2946293711472084
1,154,15.71,4,31,1,1,0,2,2,62,108.2,-0.523934959795242,1.1418080111976385,no_switch,adolescent,-0.2946293711472084
1,154,15.71,4,32,1,1,2,0,0,63,416.7,0.5061633884790472,1.2314310790388723,switch,adolescent,-0.2946293711472084
1,154,15.71,4,33,1,1,2,0,1,64,78.39999999,-0.7700470150702953,1.3210541468801058,no_switch,adolescent,-0.2946293711472084
1,154,15.71,4,34,1,1,2,0,2,65,12.3,-2.1850533556121796,1.4106772147213396,no_switch,adolescent,-0.2946293711472084
